Countries (2014),Personal,Social,Economic,Combined
Bangladesh,5.276683253,5.175,6.3,2.5823037321764684
Sierra Leone,6.134959224,4.402,6.0,2.5639899234479997
Swaziland,5.10292136,5.07,6.83,2.5605528293476687
Niger,6.036951189,4.247,5.9,2.363423887164597
Togo,5.745949096,4.506,5.81,2.307483531851747
Nigeria,5.051059585,4.585,6.38,2.063946095470481
Mauritania,5.075398165,4.895,5.6,2.04060425099126
Zimbabwe,5.201920213999999,4.763,5.55,2.0241810941430556
Ethiopia,5.4630595920000005,4.3,5.46,1.8686537927837565
Iran,3.991102212,5.972,4.98,1.816801900311591
Guinea,5.330881131,4.207,5.62,1.7672015108460655
Pakistan,4.54402395,4.882,5.89,1.7601848123491743
Myanmar,4.481858388,5.099,5.41,1.7104680983652427
Angola,5.293005055,4.075,5.13,1.5005864101282103
Chad,5.4454785260000005,3.365,4.97,1.0859018560141127
Central African Republic,4.726428339,3.032,4.99,0.3814960305250086
Yemen,2.671671826,4.289,6.54,0.29435326514598525
