,Personal,Social,Economic,Combined
Personal,1.0,0.7861928737393141,0.6374860311049428,0.9399471294641802
Social,0.7861928737393141,1.0,0.7181164404670856,0.9429373801760529
Economic,0.6374860311049428,0.7181164404670856,1.0,0.7747446936655968
Combined,0.9399471294641802,0.9429373801760529,0.7747446936655968,1.0
